MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2007-2023
"Município de notificação";"Casos_confirmados"
"291980 MACAUBAS";5
"291990 MACURURE";1
"291992 MADRE DE DEUS";16
"292010 MAIRI";3
"292060 MARAGOGIPE";3
"292070 MARAU";1
"292080 MARCIONILIO SOUZA";1
"292100 MATA DE SAO JOAO";16
"292105 MATINA";1
"292120 MIGUEL CALMON";5
"292130 MILAGRES";2
"292140 MIRANGABA";1
"292150 MONTE SANTO";9
"292170 MORRO DO CHAPEU";3
"292190 MUCUGE";1
"292200 MUCURI";3
"292205 MULUNGU DO MORRO";2
"292220 MUNIZ FERREIRA";1
"292230 MURITIBA";1
"292240 MUTUIPE";4
"292250 NAZARE";10
"292265 NORDESTINA";3
"292273 NOVA FATIMA";1
"292290 NOVA SOURE";3
"292300 NOVA VICOSA";8
"292310 OLINDINA";1
"292320 OLIVEIRA DOS BREJINHOS";3
"292335 OUROLANDIA";1
"292340 PALMAS DE MONTE ALTO";1
"292360 PARAMIRIM";10
"292370 PARATINGA";3
"292380 PARIPIRANGA";1
"292390 PAU BRASIL";1
"292400 PAULO AFONSO";27
"292410 PEDRAO";1
"292420 PEDRO ALEXANDRE";1
"292430 PIATA";3
"292460 PINDOBACU";3
"292465 PINTADAS";3
"292470 PIRIPA";1
"292480 PIRITIBA";2
"292500 PLANALTO";1
"292510 POCOES";3
"292520 POJUCA";18
"292530 PORTO SEGURO";126
"292550 PRADO";2
"292560 PRESIDENTE DUTRA";1
"292575 PRESIDENTE TANCREDO NEVES";5
"292580 QUEIMADAS";2
"292590 QUIJINGUE";3
"292595 RAFAEL JAMBEIRO";6
"292600 REMANSO";4
"292620 RIACHAO DAS NEVES";1
"292630 RIACHAO DO JACUIPE";2
"292640 RIACHO DE SANTANA";2
"292660 RIBEIRA DO POMBAL";23
"292670 RIO DE CONTAS";2
"292700 RIO REAL";4
"292710 RODELAS";1
"292720 RUY BARBOSA";5
"292730 SALINAS DA MARGARIDA";1
"292740 SALVADOR";10818
"292750 SANTA BARBARA";1
"292760 SANTA BRIGIDA";1
"292770 SANTA CRUZ CABRALIA";2
"292800 SANTALUZ";9
"292810 SANTA MARIA DA VITORIA";5
"292820 SANTANA";1
"292840 SANTA RITA DE CASSIA";5
"292850 SANTA TERESINHA";9
"292860 SANTO AMARO";1
"292870 SANTO ANTONIO DE JESUS";76
"292880 SANTO ESTEVAO";7
"292890 SAO DESIDERIO";1
"292895 SAO DOMINGOS";5
"292900 SAO FELIX";9
"292905 SAO FELIX DO CORIBE";1
"292910 SAO FELIPE";7
"292920 SAO FRANCISCO DO CONDE";1
"292925 SAO GABRIEL";9
"292930 SAO GONCALO DOS CAMPOS";1
"292937 SAO JOSE DO JACUIPE";1
"292940 SAO MIGUEL DAS MATAS";2
"292950 SAO SEBASTIAO DO PASSE";13
"292960 SAPEACU";8
"292970 SATIRO DIAS";3
"292975 SAUBARA";3
"292990 SEABRA";10
"293010 SENHOR DO BONFIM";16
"293050 SERRINHA";18
"293070 SIMOES FILHO";37
"293076 SITIO DO QUINTO";1
"293077 SOBRADINHO";1
"293080 SOUTO SOARES";2
"293110 TANQUINHO";1
"293120 TAPEROA";2
"293135 TEIXEIRA DE FREITAS";146
"293140 TEODORO SAMPAIO";5
"293150 TEOFILANDIA";2
"293170 TERRA NOVA";2
"293180 TREMEDAL";1
"293190 TUCANO";13
"293200 UAUA";1
"293210 UBAIRA";4
"293220 UBAITABA";3
"293230 UBATA";2
"293240 UIBAI";1
"293245 UMBURANAS";2
"293290 VALENCA";11
"293300 VALENTE";7
"293310 VARZEA DO POCO";1
"293320 VERA CRUZ";8
"293330 VITORIA DA CONQUISTA";1214
"293350 WENCESLAU GUIMARAES";1
"293360 XIQUE-XIQUE";1
"310010 ABADIA DOS DOURADOS";1
"310020 ABAETE";5
"310060 AGUA BOA";1
"310070 AGUA COMPRIDA";1
"310090 AGUAS FORMOSAS";5
"310110 AIMORES";11
"310120 AIURUOCA";5
"310150 ALEM PARAIBA";21
"310160 ALFENAS";78
"310170 ALMENARA";6
"310200 ALTEROSA";1
"310230 ALVINOPOLIS";1
"310260 ANDRADAS";66
"310280 ANDRELANDIA";2
"310285 ANGELANDIA";2
"310340 ARACUAI";8
"310350 ARAGUARI";36
"310375 ARAPORA";2
"310380 ARAPUA";1
"310400 ARAXA";81
"310420 ARCOS";5
"310430 AREADO";3
"310450 ARINOS";2
"310470 ATALEIA";1
"310480 AUGUSTO DE LIMA";1
"310490 BAEPENDI";36
"310510 BAMBUI";3
"310540 BARAO DE COCAIS";4
"310560 BARBACENA";92
"310570 BARRA LONGA";1
"310590 BARROSO";3
"310610 BELMIRO BRAGA";1
"310620 BELO HORIZONTE";6130
"310630 BELO ORIENTE";2
"310640 BELO VALE";1
"310670 BETIM";641
"310690 BICAS";1
"310710 BOA ESPERANCA";16
"310730 BOCAIUVA";14
"310740 BOM DESPACHO";7
"310810 BONFIM";1
"310830 BORDA DA MATA";3
"310850 BOTUMIRIM";1
"310860 BRASILIA DE MINAS";20
"310900 BRUMADINHO";7
"310910 BUENO BRANDAO";3
"310920 BUENOPOLIS";1
"310940 BURITIZEIRO";1
"310950 CABO VERDE";1
"310990 CAETANOPOLIS";1
"311000 CAETE";5
"311030 CALDAS";3
"311050 CAMANDUCAIA";12
"311060 CAMBUI";11
"311090 CAMPANHA";2
"311100 CAMPESTRE";7
"311110 CAMPINA VERDE";16
"311120 CAMPO BELO";17
"311160 CAMPOS GERAIS";8
"311180 CANAPOLIS";2
"311200 CANDEIAS";2
"311220 CAPELA NOVA";1
"311230 CAPELINHA";13
"311270 CAPITAO ENEAS";2
"311320 CARANDAI";1
"311330 CARANGOLA";95
"311340 CARATINGA";34
"311370 CARLOS CHAGAS";1
"311400 CARMO DA MATA";2
"311430 CARMO DO PARANAIBA";2
"311450 CARMOPOLIS DE MINAS";1
"311455 CARNEIRINHO";1
"311500 CASCALHO RICO";2
"311530 CATAGUASES";36
"311550 CAXAMBU";6
"311560 CEDRO DO ABAETE";1
"311580 CENTRALINA";3
"311615 CHAPADA GAUCHA";1
"311660 CLAUDIO";2
"311690 COMENDADOR GOMES";2
"311730 CONCEICAO DAS ALAGOAS";3
"311750 CONCEICAO DO MATO DENTRO";1
"311770 CONCEICAO DO RIO VERDE";3
"311780 CONCEICAO DOS OUROS";1
"311800 CONGONHAS";8
"311810 CONGONHAS DO NORTE";1
"311830 CONSELHEIRO LAFAIETE";58
"311850 CONSOLACAO";1
"311860 CONTAGEM";259
"311880 CORACAO DE JESUS";5
"311920 COROACI";1
"311930 COROMANDEL";6
"311940 CORONEL FABRICIANO";103
"311995 CORREGO FUNDO";1
"312020 CRISTAIS";2
"312050 CRISTINA";2
"312060 CRUCILANDIA";2
"312080 CRUZILIA";4
"312090 CURVELO";68
"312110 DELFIM MOREIRA";2
"312130 DESCOBERTO";1
"312150 DESTERRO DO MELO";1
"312160 DIAMANTINA";35
"312170 DIOGO DE VASCONCELOS";1
"312200 DIVINO";1
"312230 DIVINOPOLIS";217
"312245 DIVISOPOLIS";1
"312270 DOM SILVERIO";2
"312320 DORES DO INDAIA";1
"312360 ELOI MENDES";11
"312380 ENGENHEIRO NAVARRO";1
"312390 ENTRE RIOS DE MINAS";2
"312410 ESMERALDAS";3
"312420 ESPERA FELIZ";1
"312430 ESPINOSA";6
"312450 ESTIVA";3
"312470 ESTRELA DO INDAIA";1
"312510 EXTREMA";33
"312560 FELISBURGO";6
"312595 FERVEDOURO";1
"312610 FORMIGA";68
"312660 FRANCISCO DUMONT";1
"312670 FRANCISCO SA";5
"312700 FRONTEIRA";4
"312710 FRUTAL";43
"312733 GAMELEIRAS";1
"312750 GONZAGA";1
"312770 GOVERNADOR VALADARES";355
"312780 GRAO MOGOL";1
"312800 GUANHAES";4
"312810 GUAPE";1
"312830 GUARANESIA";2
"312860 GUARDA-MOR";1
"312870 GUAXUPE";66
"312900 GUIRICEMA";1
"312950 IBIA";6
"312965 IBIRACATU";2
"312970 IBIRACI";2
"312980 IBIRITE";12
"313010 IGARAPE";1
"313030 IGUATAMA";1
"313060 INCONFIDENTES";1
"313115 IPABA";2
"313120 IPANEMA";3
"313130 IPATINGA";427
"313150 IPUIUNA";4
"313160 IRAI DE MINAS";1
"313170 ITABIRA";23
"313190 ITABIRITO";2
"313220 ITAGUARA";1
"313240 ITAJUBA";139
"313250 ITAMARANDIBA";1
"313270 ITAMBACURI";11
"313300 ITAMONTE";12
"313310 ITANHANDU";8
"313330 ITAOBIM";8
"313350 ITAPECERICA";1
"313380 ITAUNA";19
"313420 ITUIUTABA";199
"313440 ITURAMA";11
"313480 JACUI";2
"313490 JACUTINGA";10
"313505 JAIBA";7
"313510 JANAUBA";32
"313520 JANUARIA";12
"313620 JOAO MONLEVADE";13
"313630 JOAO PINHEIRO";2
"313665 JUATUBA";1
"313670 JUIZ DE FORA";537
"313680 JURAMENTO";1
"313690 JURUAIA";2
"313720 LAGOA DA PRATA";11
"313760 LAGOA SANTA";5
"313770 LAJINHA";2
"313780 LAMBARI";6
"313790 LAMIM";1
"313810 LASSANCE";1
"313820 LAVRAS";139
"313840 LEOPOLDINA";31
"313880 LUZ";3
"313890 MACHACALIS";3
"313900 MACHADO";10
"313920 MALACACHETA";3
"313925 MAMONAS";1
"313930 MANGA";3
"313940 MANHUACU";94
"313950 MANHUMIRIM";10
"313960 MANTENA";6
"313990 MARIA DA FE";3
"314000 MARIANA";14
"314040 MARMELOPOLIS";1
"314050 MARTINHO CAMPOS";2
"314070 MATEUS LEME";6
"314085 MATIAS CARDOSO";1
"314090 MATIPO";1
"314100 MATO VERDE";2
"314110 MATOZINHOS";1
"314140 MEDINA";3
"314180 MINAS NOVAS";2
"314200 MIRABELA";2
"314220 MIRAI";3
"314270 MONTALVANIA";2
"314280 MONTE ALEGRE DE MINAS";5
"314290 MONTE AZUL";4
"314310 MONTE CARMELO";16
"314320 MONTE SANTO DE MINAS";3
"314330 MONTES CLAROS";402
"314340 MONTE SIAO";6
"314390 MURIAE";22
"314400 MUTUM";1
"314410 MUZAMBINHO";8
"314430 NANUQUE";15
"314460 NEPOMUCENO";1
"314470 NOVA ERA";2
"314480 NOVA LIMA";67
"314500 NOVA PONTE";2
"314520 NOVA SERRANA";12
"314530 NOVO CRUZEIRO";3
"314537 NOVORIZONTE";1
"314560 OLIVEIRA";24
"314590 OURO BRANCO";40
"314600 OURO FINO";17
"314610 OURO PRETO";29
"314630 PADRE PARAISO";2
"314650 PAINS";1
"314655 PAI PEDRO";1
"314700 PARACATU";45
"314710 PARA DE MINAS";30
"314720 PARAGUACU";2
"314760 PASSA QUATRO";8
"314790 PASSOS";110
"314800 PATOS DE MINAS";129
"314810 PATROCINIO";35
"314860 PECANHA";1
"314870 PEDRA AZUL";3
"314930 PEDRO LEOPOLDO";6
"314970 PERDIGAO";1
"314990 PERDOES";1
"315050 PIMENTA";2
"315110 PIRAPETINGA";2
"315120 PIRAPORA";22
"315140 PITANGUI";1
"315150 PIUMHI";24
"315170 POCO FUNDO";2
"315180 POCOS DE CALDAS";99
"315190 POCRANE";2
"315200 POMPEU";1
"315210 PONTE NOVA";45
"315220 PORTEIRINHA";2
"315250 POUSO ALEGRE";243
"315280 PRATA";2
"315290 PRATAPOLIS";1
"315400 RAUL SOARES";3
"315430 RESPLENDOR";20
"315445 RIACHINHO";1
"315460 RIBEIRAO DAS NEVES";31
"315470 RIBEIRAO VERMELHO";1
"315490 RIO CASCA";1
"315560 RIO PARDO DE MINAS";3
"315570 RIO PIRACICABA";1
"315600 RIO VERMELHO";1
"315650 RUBELITA";1
"315670 SABARA";10
"315680 SABINOPOLIS";1
"315690 SACRAMENTO";7
"315700 SALINAS";7
"315720 SANTA BARBARA";5
"315765 SANTA HELENA DE MINAS";1
"315770 SANTA JULIANA";1
"315780 SANTA LUZIA";13
"315790 SANTA MARGARIDA";2
"315820 SANTA MARIA DO SUACUI";2
"315890 SANTANA DO MANHUACU";1
"315960 SANTA RITA DO SAPUCAI";9
"315970 SANTA ROSA DA SERRA";2
"315980 SANTA VITORIA";3
"315990 SANTO ANTONIO DO AMPARO";3
"316030 SANTO ANTONIO DO JACINTO";1
"316040 SANTO ANTONIO DO MONTE";5
"316045 SANTO ANTONIO DO RETIRO";1
"316070 SANTOS DUMONT";2
"316100 SAO DOMINGOS DO PRATA";2
"316110 SAO FRANCISCO";8
"316130 SAO FRANCISCO DE SALES";1
"316150 SAO GERALDO";1
"316170 SAO GONCALO DO ABAETE";1
"316180 SAO GONCALO DO PARA";2
"316200 SAO GONCALO DO SAPUCAI";11
"316210 SAO GOTARDO";19
"316230 SAO JOAO DA MATA";1
"316240 SAO JOAO DA PONTE";1
"316250 SAO JOAO DEL REI";24
"316265 SAO JOAO DO PACUI";1
"316270 SAO JOAO DO PARAISO";2
"316290 SAO JOAO NEPOMUCENO";2
"316370 SAO LOURENCO";43
"316430 SAO ROQUE DE MINAS";1
"316460 SAO SEBASTIAO DO OESTE";1
"316470 SAO SEBASTIAO DO PARAISO";72
"316510 SAO TOMAS DE AQUINO";3
"316520 SAO THOME DAS LETRAS";1
"316530 SAO VICENTE DE MINAS";2
"316553 SARZEDO";5
"316557 SENADOR AMARAL";1
"316600 SENHORA DE OLIVEIRA";1
"316710 SERRO";4
"316720 SETE LAGOAS";289
"316800 TAIOBEIRAS";21
"316860 TEOFILO OTONI";160
"316870 TIMOTEO";32
"316880 TIRADENTES";1
"316920 TOMBOS";1
"316930 TRES CORACOES";42
"316935 TRES MARIAS";5
"316940 TRES PONTAS";27
"316960 TUPACIGUARA";1
"316970 TURMALINA";4
"316990 UBA";77
"317005 UBAPORANGA";1
"317010 UBERABA";1291
"317020 UBERLANDIA";2528
"317040 UNAI";31
"317052 URUCUIA";1
"317065 VARGEM GRANDE DO RIO PARDO";1
"317070 VARGINHA";182
"317080 VARZEA DA PALMA";6
"317090 VARZELANDIA";1
"317100 VAZANTE";1
"317120 VESPASIANO";2
"317130 VICOSA";68
"317160 VIRGEM DA LAPA";2
"317170 VIRGINIA";1
"317180 VIRGINOPOLIS";2
"317200 VISCONDE DO RIO BRANCO";21
"320010 AFONSO CLAUDIO";1
"320020 ALEGRE";1
"320030 ALFREDO CHAVES";1
"320040 ANCHIETA";3
"320060 ARACRUZ";17
"320070 ATILIO VIVACQUA";1
"320080 BAIXO GUANDU";3
"320090 BARRA DE SAO FRANCISCO";10
"320100 BOA ESPERANCA";3
"320120 CACHOEIRO DE ITAPEMIRIM";356
"320130 CARIACICA";251
"320140 CASTELO";17
"320150 COLATINA";131
"320160 CONCEICAO DA BARRA";6
"320170 CONCEICAO DO CASTELO";1
"320190 DOMINGOS MARTINS";43
"320210 ECOPORANGA";2
"320220 FUNDAO";1
"320230 GUACUI";17
"320240 GUARAPARI";9
"320245 IBATIBA";3
"320255 IBITIRAMA";3
"320260 ICONHA";10
"320280 ITAPEMIRIM";6
"320290 ITARANA";2
"320300 IUNA";5
"320305 JAGUARE";14
"320313 JOAO NEIVA";2
"320316 LARANJA DA TERRA";1
"320320 LINHARES";230
"320334 MARECHAL FLORIANO";1
"320340 MIMOSO DO SUL";3
"320350 MONTANHA";3
"320360 MUCURICI";4
"320370 MUNIZ FREIRE";2
"320390 NOVA VENECIA";3
"320400 PANCAS";1
"320405 PEDRO CANARIO";5
"320410 PINHEIROS";1
"320430 PRESIDENTE KENNEDY";2
"320435 RIO BANANAL";1
"320450 SANTA LEOPOLDINA";2
"320455 SANTA MARIA DE JETIBA";2
"320460 SANTA TERESA";3
"320470 SAO GABRIEL DA PALHA";3
"320480 SAO JOSE DO CALCADO";2
"320490 SAO MATEUS";196
"320495 SAO ROQUE DO CANAA";1
"320500 SERRA";277
"320503 VARGEM ALTA";2
"320506 VENDA NOVA DO IMIGRANTE";30
"320510 VIANA";1
"320520 VILA VELHA";289
"320530 VITORIA";996
"330010 ANGRA DOS REIS";83
"330015 APERIBE";5
"330020 ARARUAMA";55
"330023 ARMACAO DOS BUZIOS";29
"330025 ARRAIAL DO CABO";3
"330030 BARRA DO PIRAI";23
"330040 BARRA MANSA";34
"330045 BELFORD ROXO";61
"330050 BOM JARDIM";10
"330060 BOM JESUS DO ITABAPOANA";29
"330070 CABO FRIO";100
"330080 CACHOEIRAS DE MACACU";10
"330090 CAMBUCI";7
"330093 CARAPEBUS";1
"330100 CAMPOS DOS GOYTACAZES";586
"330110 CANTAGALO";1
"330120 CARMO";5
"330130 CASIMIRO DE ABREU";13
"330140 CONCEICAO DE MACABU";2
"330150 CORDEIRO";5
"330170 DUQUE DE CAXIAS";1095
"330185 GUAPIMIRIM";19
"330187 IGUABA GRANDE";4
"330190 ITABORAI";88
"330200 ITAGUAI";78
"330205 ITALVA";1
"330210 ITAOCARA";18
"330220 ITAPERUNA";291
"330225 ITATIAIA";5
"330227 JAPERI";15
"330230 LAJE DO MURIAE";2
"330240 MACAE";275
"330250 MAGE";52
"330260 MANGARATIBA";15
"330270 MARICA";61
"330285 MESQUITA";36
"330290 MIGUEL PEREIRA";9
"330300 MIRACEMA";2
"330320 NILOPOLIS";120
"330330 NITEROI";1120
"330340 NOVA FRIBURGO";73
"330350 NOVA IGUACU";557
"330360 PARACAMBI";11
"330370 PARAIBA DO SUL";4
"330380 PARATY";20
"330385 PATY DO ALFERES";3
"330390 PETROPOLIS";278
"330395 PINHEIRAL";6
"330400 PIRAI";18
"330410 PORCIUNCULA";3
"330411 PORTO REAL";7
"330412 QUATIS";1
"330414 QUEIMADOS";9
"330415 QUISSAMA";10
"330420 RESENDE";137
"330430 RIO BONITO";30
"330450 RIO DAS FLORES";2
"330452 RIO DAS OSTRAS";39
"330455 RIO DE JANEIRO";10881
"330470 SANTO ANTONIO DE PADUA";22
"330475 SAO FRANCISCO DE ITABAPOANA";3
"330480 SAO FIDELIS";10
"330490 SAO GONCALO";805
"330500 SAO JOAO DA BARRA";2
"330510 SAO JOAO DE MERITI";58
"330513 SAO JOSE DE UBA";1
"330515 SAO JOSE DO VALE DO RIO PRETO";1
"330520 SAO PEDRO DA ALDEIA";17
"330530 SAO SEBASTIAO DO ALTO";2
"330540 SAPUCAIA";1
"330550 SAQUAREMA";29
"330555 SEROPEDICA";7
"330560 SILVA JARDIM";4
"330570 SUMIDOURO";5
"330575 TANGUA";8
"330580 TERESOPOLIS";152
"330590 TRAJANO DE MORAES";1
"330600 TRES RIOS";37
"330610 VALENCA";25
"330615 VARRE-SAI";2
"330620 VASSOURAS";25
"330630 VOLTA REDONDA";214
"350010 ADAMANTINA";24
"350030 AGUAI";15
"350040 AGUAS DA PRATA";1
"350050 AGUAS DE LINDOIA";17
"350060 AGUAS DE SAO PEDRO";1
"350070 AGUDOS";5
"350130 ALVARES MACHADO";1
"350160 AMERICANA";1148
"350170 AMERICO BRASILIENSE";61
"350190 AMPARO";63
"350210 ANDRADINA";88
"350220 ANGATUBA";1
"350250 APARECIDA";14
"350270 APIAI";6
"350275 ARACARIGUAMA";3
"350280 ARACATUBA";1086
"350290 ARACOIABA DA SERRA";2
"350310 ARANDU";2
"350320 ARARAQUARA";361
"350330 ARARAS";522
"350340 AREALVA";4
"350380 ARTUR NOGUEIRA";2
"350390 ARUJA";109
"350400 ASSIS";158
"350410 ATIBAIA";349
"350420 AURIFLAMA";1
"350450 AVARE";220
"350510 BARBOSA";3
"350530 BARRA BONITA";19
"350550 BARRETOS";524
"350570 BARUERI";2491
"350580 BASTOS";6
"350590 BATATAIS";51
"350600 BAURU";1733
"350610 BEBEDOURO";368
"350630 BERNARDINO DE CAMPOS";5
"350635 BERTIOGA";66
"350650 BIRIGUI";54
"350670 BOA ESPERANCA DO SUL";1
"350700 BOITUVA";17
"350710 BOM JESUS DOS PERDOES";2
"350740 BORBOREMA";1
"350750 BOTUCATU";663
"350760 BRAGANCA PAULISTA";486
"350770 BRAUNA";1
"350780 BRODOWSKI";1
"350790 BROTAS";14
"350810 BURITAMA";17
"350840 CABREUVA";11
"350850 CACAPAVA";22
"350860 CACHOEIRA PAULISTA";1
"350870 CACONDE";3
"350880 CAFELANDIA";5
"350900 CAIEIRAS";86
"350920 CAJAMAR";35
"350930 CAJOBI";1
"350940 CAJURU";5
"350950 CAMPINAS";4159
"350960 CAMPO LIMPO PAULISTA";33
"350970 CAMPOS DO JORDAO";22
"351000 CANDIDO MOTA";9
"351020 CAPAO BONITO";29
"351040 CAPIVARI";64
"351050 CARAGUATATUBA";57
"351060 CARAPICUIBA";362
"351080 CASA BRANCA";5
"351110 CATANDUVA";764
"351130 CEDRAL";1
"351140 CERQUEIRA CESAR";5
"351150 CERQUILHO";9
"351160 CESARIO LANGE";2
"351170 CHARQUEADA";3
"351190 CLEMENTINA";1
"351200 COLINA";2
"351220 CONCHAL";13
"351280 COSMOPOLIS";13
"351300 COTIA";408
"351340 CRUZEIRO";52
"351350 CUBATAO";274
"351360 CUNHA";1
"351370 DESCALVADO";5
"351380 DIADEMA";767
"351390 DIVINOLANDIA";6
"351410 DOIS CORREGOS";83
"351440 DRACENA";73
"351450 DUARTINA";1
"351500 EMBU DAS ARTES";260
"351510 EMBU-GUACU";2
"351515 ENGENHEIRO COELHO";1
"351518 ESPIRITO SANTO DO PINHAL";114
"351519 ESPIRITO SANTO DO TURVO";2
"351520 ESTRELA D'OESTE";1
"351540 FARTURA";20
"351550 FERNANDOPOLIS";181
"351570 FERRAZ DE VASCONCELOS";114
"351600 FLORIDA PAULISTA";2
"351620 FRANCA";627
"351630 FRANCISCO MORATO";151
"351640 FRANCO DA ROCHA";144
"351670 GARCA";89
"351740 GUAIRA";31
"351760 GUAPIARA";5
"351770 GUARA";3
"351820 GUARARAPES";22
"351830 GUARAREMA";11
"351840 GUARATINGUETA";62
"351850 GUAREI";3
"351860 GUARIBA";3
"351870 GUARUJA";510
"351880 GUARULHOS";3174
"351905 HOLAMBRA";1
"351907 HORTOLANDIA";193
"351920 IACRI";2
"351930 IBATE";6
"351940 IBIRA";1
"351950 IBIRAREMA";1
"351960 IBITINGA";25
"351970 IBIUNA";27
"351990 IEPE";1
"352000 IGARACU DO TIETE";3
"352010 IGARAPAVA";23
"352040 ILHABELA";87
"352044 ILHA SOLTEIRA";13
"352050 INDAIATUBA";364
"352060 INDIANA";1
"352070 INDIAPORA";1
"352090 IPAUSSU";2
"352100 IPERO";2
"352130 IPUA";1
"352170 ITABERA";1
"352180 ITAI";5
"352210 ITANHAEM";38
"352220 ITAPECERICA DA SERRA";638
"352230 ITAPETININGA";218
"352240 ITAPEVA";51
"352250 ITAPEVI";396
"352260 ITAPIRA";90
"352270 ITAPOLIS";23
"352280 ITAPORANGA";8
"352310 ITAQUAQUECETUBA";388
"352320 ITARARE";7
"352340 ITATIBA";124
"352360 ITIRAPINA";3
"352370 ITIRAPUA";1
"352390 ITU";185
"352400 ITUPEVA";10
"352410 ITUVERAVA";42
"352430 JABOTICABAL";148
"352440 JACAREI";304
"352470 JAGUARIUNA";58
"352480 JALES";60
"352500 JANDIRA";15
"352510 JARDINOPOLIS";1
"352520 JARINU";4
"352530 JAU";270
"352540 JERIQUARA";1
"352550 JOANOPOLIS";1
"352570 JOSE BONIFACIO";2
"352590 JUNDIAI";1759
"352600 JUNQUEIROPOLIS";1
"352610 JUQUIA";2
"352640 LARANJAL PAULISTA";35
"352650 LAVINIA";2
"352670 LEME";284
"352680 LENCOIS PAULISTA";93
"352690 LIMEIRA";1006
"352710 LINS";98
"352720 LORENA";49
"352725 LOURDES";1
"352730 LOUVEIRA";57
"352740 LUCELIA";7
"352790 LUTECIA";1
"352800 MACATUBA";6
"352840 MAIRINQUE";2
"352850 MAIRIPORA";43
"352880 MARACAI";1
"352900 MARILIA";1063
"352920 MARTINOPOLIS";4
"352930 MATAO";46
"352940 MAUA";765
"352950 MENDONCA";1
"352970 MIGUELOPOLIS";2
"353010 MIRANDOPOLIS";45
"353050 MOCOCA";143
"353060 MOGI DAS CRUZES";1239
"353070 MOGI GUACU";323
"353080 MOGI MIRIM";62
"353100 MONCOES";1
"353110 MONGAGUA";20
"353130 MONTE ALTO";39
"353150 MONTE AZUL PAULISTA";3
"353180 MONTE MOR";22
"353190 MORRO AGUDO";3
"353200 MORUNGABA";3
"353240 NAZARE PAULISTA";3
"353290 NOVA EUROPA";1
"353340 NOVA ODESSA";76
"353350 NOVO HORIZONTE";78
"353360 NUPORANGA";6
"353380 OLEO";1
"353390 OLIMPIA";56
"353430 ORLANDIA";163
"353440 OSASCO";2061
"353460 OSVALDO CRUZ";17
"353470 OURINHOS";206
"353480 OURO VERDE";1
"353530 PALMITAL";8
"353540 PANORAMA";3
"353550 PARAGUACU PAULISTA";8
"353620 PARIQUERA-ACU";221
"353630 PATROCINIO PAULISTA";2
"353640 PAULICEIA";2
"353650 PAULINIA";262
"353670 PEDERNEIRAS";4
"353700 PEDREGULHO";1
"353710 PEDREIRA";3
"353730 PENAPOLIS";144
"353740 PEREIRA BARRETO";16
"353760 PERUIBE";60
"353780 PIEDADE";23
"353790 PILAR DO SUL";6
"353800 PINDAMONHANGABA";88
"353860 PIRACAIA";6
"353870 PIRACICABA";511
"353880 PIRAJU";5
"353910 PIRAPORA DO BOM JESUS";11
"353930 PIRASSUNUNGA";32
"353950 PITANGUEIRAS";58
"353980 POA";42
"354000 POMPEIA";4
"354020 PONTAL";6
"354060 PORTO FELIZ";26
"354070 PORTO FERREIRA";41
"354080 POTIRENDABA";1
"354090 PRADOPOLIS";1
"354100 PRAIA GRANDE";238
"354130 PRESIDENTE EPITACIO";10
"354140 PRESIDENTE PRUDENTE";1467
"354150 PRESIDENTE VENCESLAU";20
"354160 PROMISSAO";8
"354170 QUATA";1
"354220 RANCHARIA";16
"354260 REGISTRO";14
"354280 RIBEIRA";1
"354300 RIBEIRAO BRANCO";5
"354325 RIBEIRAO GRANDE";1
"354330 RIBEIRAO PIRES";975
"354340 RIBEIRAO PRETO";2335
"354370 RINCAO";1
"354390 RIO CLARO";293
"354400 RIO DAS PEDRAS";7
"354410 RIO GRANDE DA SERRA";1
"354425 ROSANA";18
"354440 RUBIACEA";1
"354480 SALES";1
"354490 SALES OLIVEIRA";13
"354520 SALTO";447
"354530 SALTO DE PIRAPORA";9
"354540 SALTO GRANDE";2
"354580 SANTA BARBARA D'OESTE";178
"354600 SANTA BRANCA";1
"354630 SANTA CRUZ DAS PALMEIRAS";13
"354640 SANTA CRUZ DO RIO PARDO";23
"354650 SANTA ERNESTINA";1
"354660 SANTA FE DO SUL";16
"354670 SANTA GERTRUDES";4
"354680 SANTA ISABEL";27
"354690 SANTA LUCIA";2
"354700 SANTA MARIA DA SERRA";1
"354710 SANTA MERCEDES";2
"354730 SANTANA DE PARNAIBA";176
"354750 SANTA RITA DO PASSA QUATRO";13
"354770 SANTO ANASTACIO";3
"354780 SANTO ANDRE";3707
"354790 SANTO ANTONIO DA ALEGRIA";1
"354850 SANTOS";1466
"354860 SAO BENTO DO SAPUCAI";10
"354870 SAO BERNARDO DO CAMPO";5128
"354880 SAO CAETANO DO SUL";1396
"354890 SAO CARLOS";701
"354910 SAO JOAO DA BOA VISTA";144
"354940 SAO JOAQUIM DA BARRA";111
"354950 SAO JOSE DA BELA VISTA";1
"354970 SAO JOSE DO RIO PARDO";30
"354980 SAO JOSE DO RIO PRETO";4371
"354990 SAO JOSE DOS CAMPOS";1577
"355010 SAO MANUEL";7
"355020 SAO MIGUEL ARCANJO";3
"355030 SAO PAULO";49427
"355040 SAO PEDRO";10
"355060 SAO ROQUE";47
"355070 SAO SEBASTIAO";69
"355080 SAO SEBASTIAO DA GRAMA";4
"355100 SAO VICENTE";328
"355150 SERRANA";2
"355160 SERRA NEGRA";4
"355170 SERTAOZINHO";250
