 Investigação de Dermatoses ocupacionais - Notificações registradas no Sinan Net - Brasil
Notificações por Município de notificação
Período:2006-2023
"Município de notificação";"Notificações"
"311200 CANDEIAS";11
"311230 CAPELINHA";8
"311250 CAPIM BRANCO";3
"311300 CARAI";1
"311320 CARANDAI";1
"311330 CARANGOLA";4
"311370 CARLOS CHAGAS";1
"311390 CARMO DA CACHOEIRA";1
"311450 CARMOPOLIS DE MINAS";2
"311455 CARNEIRINHO";3
"311490 CASA GRANDE";1
"311530 CATAGUASES";1
"311570 CENTRAL DE MINAS";1
"311600 CHALE";2
"311610 CHAPADA DO NORTE";6
"311620 CHIADOR";1
"311730 CONCEICAO DAS ALAGOAS";1
"311760 CONCEICAO DO PARA";1
"311820 CONQUISTA";1
"311860 CONTAGEM";195
"311890 CORDISBURGO";2
"311910 CORINTO";1
"311920 COROACI";6
"311970 CORONEL XAVIER CHAVES";2
"312000 CORREGO NOVO";1
"312030 CRISTALIA";1
"312050 CRISTINA";1
"312087 CURRAL DE DENTRO";1
"312090 CURVELO";54
"312125 DELTA";1
"312160 DIAMANTINA";1
"312240 DIVISA NOVA";1
"312300 DORES DE CAMPOS";1
"312320 DORES DO INDAIA";1
"312330 DORES DO TURVO";1
"312380 ENGENHEIRO NAVARRO";3
"312410 ESMERALDAS";8
"312430 ESPINOSA";1
"312440 ESPIRITO SANTO DO DOURADO";3
"312450 ESTIVA";1
"312510 EXTREMA";3
"312600 FLORESTAL";1
"312610 FORMIGA";1
"312630 FORTALEZA DE MINAS";1
"312660 FRANCISCO DUMONT";5
"312720 FUNILANDIA";3
"312770 GOVERNADOR VALADARES";15
"312790 GRUPIARA";2
"312810 GUAPE";1
"312825 GUARACIAMA";4
"312850 GUARARA";2
"312870 GUAXUPE";1
"312890 GUIMARANIA";2
"312930 IAPU";1
"312950 IBIA";1
"312980 IBIRITE";3
"313010 IGARAPE";2
"313050 ILICINEA";1
"313055 IMBE DE MINAS";2
"313060 INCONFIDENTES";2
"313065 INDAIABIRA";1
"313080 INGAI";1
"313090 INHAPIM";2
"313100 INHAUMA";1
"313110 INIMUTABA";1
"313115 IPABA";1
"313130 IPATINGA";9
"313170 ITABIRA";1
"313220 ITAGUARA";1
"313240 ITAJUBA";11
"313250 ITAMARANDIBA";1
"313270 ITAMBACURI";1
"313290 ITAMOGI";15
"313360 ITAPEVA";1
"313375 ITAU DE MINAS";3
"313390 ITAVERAVA";1
"313490 JACUTINGA";3
"313500 JAGUARACU";1
"313510 JANAUBA";1
"313520 JANUARIA";1
"313545 JENIPAPO DE MINAS";1
"313560 JEQUITAI";1
"313660 NOVA UNIAO";1
"313670 JUIZ DE FORA";149
"313690 JURUAIA";1
"313740 LAGOA DOURADA";1
"313820 LAVRAS";2
"313850 LIBERDADE";3
"313930 MANGA";2
"314015 MARIO CAMPOS";4
"314070 MATEUS LEME";2
"314110 MATOZINHOS";1
"314225 MIRAVANIA";1
"314230 MOEDA";3
"314290 MONTE AZUL";1
"314310 MONTE CARMELO";1
"314330 MONTES CLAROS";37
"314345 MONTEZUMA";7
"314350 MORADA NOVA DE MINAS";2
"314360 MORRO DA GARCA";1
"314390 MURIAE";3
"314400 MUTUM";1
"314430 NANUQUE";1
"314467 NOVA BELEM";1
"314470 NOVA ERA";1
"314480 NOVA LIMA";16
"314505 NOVA PORTEIRINHA";1
"314520 NOVA SERRANA";1
"314560 OLIVEIRA";4
"314600 OURO FINO";2
"314610 OURO PRETO";1
"314625 PADRE CARVALHO";1
"314650 PAINS";40
"314690 PAPAGAIOS";2
"314700 PARACATU";1
"314710 PARA DE MINAS";5
"314730 PARAISOPOLIS";1
"314740 PARAOPEBA";3
"314750 PASSABEM";2
"314780 PASSA-VINTE";1
"314790 PASSOS";6
"314810 PATROCINIO";12
"314830 PAULA CANDIDO";1
"314860 PECANHA";1
"314870 PEDRA AZUL";1
"314960 PEQUI";2
"314970 PERDIGAO";1
"314980 PERDIZES";1
"314995 PERIQUITO";1
"315050 PIMENTA";3
"315060 PIRACEMA";1
"315150 PIUMHI";4
"315170 POCO FUNDO";1
"315180 POCOS DE CALDAS";5
"315220 PORTEIRINHA";2
"315250 POUSO ALEGRE";6
"315280 PRATA";4
"315320 PRESIDENTE JUSCELINO";1
"315330 PRESIDENTE KUBITSCHEK";1
"315360 PRUDENTE DE MORAIS";1
"315370 QUARTEL GERAL";1
"315390 RAPOSOS";2
"315440 RESSAQUINHA";1
"315460 RIBEIRAO DAS NEVES";41
"315530 RIO MANSO";7
"315560 RIO PARDO DE MINAS";5
"315610 RITAPOLIS";5
"315670 SABARA";1
"315690 SACRAMENTO";1
"315700 SALINAS";1
"315710 SALTO DA DIVISA";1
"315733 SANTA CRUZ DE MINAS";2
"315737 SANTA CRUZ DE SALINAS";2
"315740 SANTA CRUZ DO ESCALVADO";2
"315760 SANTA FE DE MINAS";16
"315770 SANTA JULIANA";2
"315780 SANTA LUZIA";2
"315840 SANTANA DE CATAGUASES";1
"315860 SANTANA DO DESERTO";1
"315910 SANTANA DOS MONTES";1
"315930 SANTA RITA DE JACUTINGA";6
"315980 SANTA VITORIA";1
"316010 SANTO ANTONIO DO GRAMA";1
"316030 SANTO ANTONIO DO JACINTO";1
"316040 SANTO ANTONIO DO MONTE";1
"316100 SAO DOMINGOS DO PRATA";1
"316160 SAO GERALDO DA PIEDADE";1
"316220 SAO JOAO BATISTA DO GLORIA";1
"316250 SAO JOAO DEL REI";1
"316280 SAO JOAO EVANGELISTA";1
"316292 SAO JOAQUIM DE BICAS";14
"316447 SAO SEBASTIAO DO ANTA";1
"316450 SAO SEBASTIAO DO MARANHAO";1
"316470 SAO SEBASTIAO DO PARAISO";1
"316480 SAO SEBASTIAO DO RIO PRETO";1
"316510 SAO TOMAS DE AQUINO";2
"316553 SARZEDO";2
"316557 SENADOR AMARAL";1
"316560 SENADOR CORTES";1
"316570 SENADOR FIRMINO";1
"316590 SENADOR MODESTINO GONCALVES";1
"316695 SERRANOPOLIS DE MINAS";2
"316720 SETE LAGOAS";6
"316750 SIMAO PEREIRA";1
"316770 SOBRALIA";2
"316790 TABULEIRO";1
"316800 TAIOBEIRAS";2
"316830 TAQUARACU DE MINAS";1
"316870 TIMOTEO";1
"316920 TOMBOS";1
"316935 TRES MARIAS";3
"316940 TRES PONTAS";1
"316990 UBA";4
"317010 UBERABA";21
"317020 UBERLANDIA";10
"317030 UMBURATIBA";2
"317050 URUCANIA";2
"317065 VARGEM GRANDE DO RIO PARDO";4
"317070 VARGINHA";1
"317090 VARZELANDIA";1
"317100 VAZANTE";1
"317110 VERISSIMO";1
"320010 AFONSO CLAUDIO";1
"320016 AGUA DOCE DO NORTE";1
"320020 ALEGRE";1
"320040 ANCHIETA";2
"320070 ATILIO VIVACQUA";268
"320120 CACHOEIRO DE ITAPEMIRIM";1
"320130 CARIACICA";3
"320150 COLATINA";4
"320240 GUARAPARI";2
"320260 ICONHA";5
"320265 IRUPI";1
"320280 ITAPEMIRIM";2
"320310 JERONIMO MONTEIRO";1
"320340 MIMOSO DO SUL";1
"320350 MONTANHA";1
"320370 MUNIZ FREIRE";2
"320425 PONTO BELO";1
"320455 SANTA MARIA DE JETIBA";1
"320490 SAO MATEUS";2
"320503 VARGEM ALTA";1
"320530 VITORIA";58
"330010 ANGRA DOS REIS";139
"330020 ARARUAMA";1
"330023 ARMACAO DOS BUZIOS";2
"330025 ARRAIAL DO CABO";1
"330070 CABO FRIO";2
"330130 CASIMIRO DE ABREU";1
"330170 DUQUE DE CAXIAS";1
"330190 ITABORAI";5
"330220 ITAPERUNA";1
"330240 MACAE";19
"330250 MAGE";13
"330260 MANGARATIBA";2
"330270 MARICA";3
"330340 NOVA FRIBURGO";1
"330370 PARAIBA DO SUL";2
"330412 QUATIS";4
"330415 QUISSAMA";4
"330420 RESENDE";5
"330452 RIO DAS OSTRAS";1
"330455 RIO DE JANEIRO";158
"330520 SAO PEDRO DA ALDEIA";1
"330570 SUMIDOURO";3
"330610 VALENCA";2
"350010 ADAMANTINA";1
"350140 ALVARO DE CARVALHO";1
"350160 AMERICANA";3
"350190 AMPARO";30
"350200 ANALANDIA";1
"350275 ARACARIGUAMA";1
"350320 ARARAQUARA";5
"350330 ARARAS";1
"350450 AVARE";3
"350580 BASTOS";1
"350590 BATATAIS";18
"350600 BAURU";22
"350670 BOA ESPERANCA DO SUL";1
"350715 BOM SUCESSO DE ITARARE";1
"350750 BOTUCATU";8
"350760 BRAGANCA PAULISTA";1
"350900 CAIEIRAS";1
"350930 CAJOBI";1
"350950 CAMPINAS";56
"351210 COLOMBIA";3
"351320 CRISTAIS PAULISTA";1
"351340 CRUZEIRO";1
"351350 CUBATAO";9
"351380 DIADEMA";66
"351410 DOIS CORREGOS";1
"351518 ESPIRITO SANTO DO PINHAL";2
"351640 FRANCO DA ROCHA";6
"351700 GETULINA";5
"351810 GUARANTA";3
"351880 GUARULHOS";5
"351907 HORTOLANDIA";1
"351990 IEPE";1
"352044 ILHA SOLTEIRA";10
"352050 INDAIATUBA";5
"352080 INUBIA PAULISTA";4
"352215 ITAOCA";1
"352240 ITAPEVA";32
"352310 ITAQUAQUECETUBA";9
"352320 ITARARE";1
"352330 ITARIRI";1
"352380 ITOBI";6
"352530 JAU";44
"352550 JOANOPOLIS";5
"352590 JUNDIAI";16
"352610 JUQUIA";3
"352680 LENCOIS PAULISTA";1
"352730 LOUVEIRA";1
"352740 LUCELIA";4
"352860 MANDURI";3
"352900 MARILIA";40
"352940 MAUA";3
"353000 MIRA ESTRELA";1
"353060 MOGI DAS CRUZES";3
"353070 MOGI GUACU";9
"353160 MONTE CASTELO";1
"353282 NOVA CAMPINA";1
"353370 OCAUCU";1
"353460 OSVALDO CRUZ";1
"353620 PARIQUERA-ACU";13
"353870 PIRACICABA";10
"354140 PRESIDENTE PRUDENTE";2
"354250 REGINOPOLIS";1
"354260 REGISTRO";26
"354340 RIBEIRAO PRETO";132
"354390 RIO CLARO";21
"354430 ROSEIRA";1
"354450 RUBINEIA";1
"354515 SALTINHO";1
"354530 SALTO DE PIRAPORA";2
"354670 SANTA GERTRUDES";3
"354680 SANTA ISABEL";1
"354780 SANTO ANDRE";9
"354810 SANTO ANTONIO DO JARDIM";3
"354850 SANTOS";6
"354870 SAO BERNARDO DO CAMPO";10
"354890 SAO CARLOS";2
"354910 SAO JOAO DA BOA VISTA";14
"354980 SAO JOSE DO RIO PRETO";5
"354990 SAO JOSE DOS CAMPOS";34
"355030 SAO PAULO";62
"355070 SAO SEBASTIAO";1
"355170 SERTAOZINHO";1
"355220 SOROCABA";15
"355250 SUZANO";1
"410060 ALTO PARANA";1
"410070 ALTO PIQUIRI";1
"410105 ANAHY";1
"410150 ARAPONGAS";7
"410160 ARAPOTI";1
"410180 ARAUCARIA";4
"410260 BARRACAO";2
"410275 BELA VISTA DA CAROBA";1
"410290 BITURUNA";5
"410322 BOM SUCESSO DO SUL";1
"410400 CAMPINA GRANDE DO SUL";1
"410410 CAMPO DO TENENTE";1
"410465 CARAMBEI";1
"410480 CASCAVEL";50
"410580 COLOMBO";4
"410645 CORONEL DOMINGOS SOARES";1
"410650 CORONEL VIVIDA";1
"410690 CURITIBA";213
"410715 DIAMANTE D'OESTE";1
"410725 DOURADINA";3
"410754 ESPIGAO ALTO DO IGUACU";1
"410765 FAZENDA RIO GRANDE";2
"410830 FOZ DO IGUACU";1
"410950 GUARAQUECABA";1
"410960 GUARATUBA";1
"410965 HONORIO SERPA";3
"410980 IBIPORA";1
"410990 ICARAIMA";1
"411010 IMBITUVA";31
"411065 IRACEMA DO OESTE";1
"411070 IRATI";1
"411370 LONDRINA";20
"411390 MALLET";1
"411510 MARILUZ";1
"411520 MARINGA";12
"411560 MATELANDIA";1
"411580 MEDIANEIRA";1
"411670 NOVA AURORA";13
"411770 PALMEIRA";1
"411840 PARANAVAI";2
"411850 PATO BRANCO";6
"411860 PAULA FREITAS";4
"411870 PAULO FRONTIN";1
"411915 PINHAIS";3
"411920 PINHALAO";1
"411930 PINHAO";1
"411965 PITANGUEIRAS";1
"411970 PLANALTINA DO PARANA";4
"412035 PRANCHITA";1
"412060 PRUDENTOPOLIS";1
"412120 QUITANDINHA";8
"412200 RIO AZUL";3
"412215 RIO BONITO DO IGUACU";1
"412220 RIO BRANCO DO SUL";2
"412240 ROLANDIA";2
"412382 SANTA LUCIA";5
"412405 SANTA TEREZINHA DE ITAIPU";1
"412550 SAO JOSE DOS PINHAIS";1
"412667 TAMARANA";1
"412760 TIJUCAS DO SUL";1
"412796 TURVO";1
"412863 DOUTOR ULYSSES";1
"420240 BLUMENAU";3
"420243 BOCAINA DO SUL";4
"420420 CHAPECO";2
"420460 CRICIUMA";3
"420535 FLOR DO SERTAO";4
"420540 FLORIANOPOLIS";23
"420545 FORQUILHINHA";1
"420580 GARUVA";4
"420665 GUATAMBU";1
"420775 IRACEMINHA";1
"420830 ITAPEMA";4
"420910 JOINVILLE";58
"421010 MAFRA";3
"421120 MORRO DA FUMACA";1
"421130 NAVEGANTES";1
"421175 OTACILIO COSTA";3
"421200 PALMA SOLA";1
"421310 PIRATUBA";1
"421410 PRESIDENTE NEREU";1
"421660 SAO JOSE";1
"421835 TREVISO";1
"421885 UNIAO DO OESTE";1
"421900 URUSSANGA";2
"421950 XANXERE";8
"430010 AGUDO";2
"430040 ALEGRETE";98
"430057 ALTO FELIZ";2
"430060 ALVORADA";1
"430070 ANTA GORDA";1
"430160 BAGE";1
"430187 BARRA DO QUARAI";1
"430190 BARRA DO RIBEIRO";1
"430310 CACHOEIRINHA";7
"430420 CANDELARIA";1
"430460 CANOAS";1
"430466 CAPAO DO LEAO";2
"430468 CAPELA DE SANTANA";2
"430470 CARAZINHO";1
"430471 CARAA";2
"430500 CATUIPE";1
"430510 CAXIAS DO SUL";155
"430513 CERRO BRANCO";1
"430535 CHARQUEADAS";1
"430610 CRUZ ALTA";2
"430650 DOM FELICIANO";1
"430690 ENCRUZILHADA DO SUL";2
"430700 ERECHIM";6
"430760 ESTANCIA VELHA";1
"430790 FARROUPILHA";2
"430910 GRAMADO";1
"430915 GRAMADO XAVIER";2
"430920 GRAVATAI";14
"430930 GUAIBA";3
"431010 IGREJINHA";1
"431020 IJUI";3
"431033 IMBE";2
"431043 IPE";1
"431085 JABOTICABA";1
"431140 LAJEADO";7
"431150 LAVRAS DO SUL";1
"431175 MANOEL VIANA";1
"431180 MARAU";56
"431240 MONTENEGRO";1
"431280 NOVA ARACA";1
"431306 NOVA HARTZ";1
"431337 NOVA SANTA RITA";1
"431340 NOVO HAMBURGO";2
"431370 PALMEIRA DAS MISSOES";6
"431390 PANAMBI";1
"431395 PANTANO GRANDE";1
"431410 PASSO FUNDO";13
"431420 PEDRO OSORIO";1
"431445 PINHAL";2
"431449 PINHEIRINHO DO VALE";1
"431490 PORTO ALEGRE";69
"431517 PROTASIO ALVES";1
"431530 QUARAI";1
"431532 QUEVEDOS";1
"431560 RIO GRANDE";4
"431570 RIO PARDO";1
"431640 ROSARIO DO SUL";1
"431675 SANTA CLARA DO SUL";1
"431680 SANTA CRUZ DO SUL";14
"431690 SANTA MARIA";14
"431720 SANTA ROSA";11
"431740 SANTIAGO";2
"431750 SANTO ANGELO";2
"431770 SANTO ANTONIO DAS MISSOES";1
"431830 SAO GABRIEL";1
"431843 SAO JOAO DO POLESINE";1
"431846 SAO JOSE DO HERVAL";1
"431870 SAO LEOPOLDO";1
"431960 SAO SEPE";2
"431990 SAPIRANGA";2
"432032 SENADOR SALGADO FILHO";1
"432055 SERTAO SANTANA";1
"432070 SOBRADINHO";1
"432145 TEUTONIA";3
"432149 TOROPI";2
"432162 TRAVESSEIRO";1
"432190 TRES PASSOS";1
"432210 TUCUNDUVA";5
"432260 VENANCIO AIRES";1
"432270 VERA CRUZ";2
"432290 VIADUTOS";1
"432300 VIAMAO";2
"432380 XANGRI-LA";1
"500070 ANASTACIO";8
"500110 AQUIDAUANA";2
"500260 CAMAPUA";1
"500270 CAMPO GRANDE";20
"500280 CARACOL";1
"500310 CORGUINHO";1
"500320 CORUMBA";3
"500345 DEODAPOLIS";1
"500370 DOURADOS";16
"500450 ITAPORA";3
"500480 JAPORA";1
"500490 JARAGUARI";1
"500580 NIOAQUE";1
"500600 NOVA ALVORADA DO SUL";1
"500660 PONTA PORA";4
"500750 ROCHEDO";3
"500755 SANTA RITA DO PARDO";1
"500780 SELVIRIA";1
"500830 TRES LAGOAS";3
"510020 AGUA BOA";2
"510170 BARRA DO BUGRES";1
"510180 BARRA DO GARCAS";2
"510250 CACERES";2
"510263 CAMPO NOVO DO PARECIS";1
"510285 CASTANHEIRA";2
"510320 COLIDER";5
"510340 CUIABA";1
"510410 GUARANTA DO NORTE";5
"510460 ITIQUIRA";1
"510480 JACIARA";1
"510515 JUINA";1
"510517 JURUENA";3
"510520 JUSCIMEIRA";1
"510530 LUCIARA";1
"510562 MIRASSOL D'OESTE";1
"510619 NOVA SANTA HELENA";6
"510621 NOVA CANAA DO NORTE";1
"510622 NOVA MUTUM";2
"510625 NOVA XAVANTINA";1
"510627 NOVO HORIZONTE DO NORTE";2
"510642 PEIXOTO DE AZEVEDO";1
"510645 PLANALTO DA SERRA";1
"510665 PONTAL DO ARAGUAIA";2
"510675 PONTES E LACERDA";4
"510704 PRIMAVERA DO LESTE";6
"510760 RONDONOPOLIS";2
"510785 SAO FELIX DO ARAGUAIA";6
"510790 SINOP";2
"520030 ALEXANIA";1
"520110 ANAPOLIS";15
"520140 APARECIDA DE GOIANIA";2
"520340 BOM JARDIM DE GOIAS";1
"520440 CAIAPONIA";1
"520590 CORUMBAIBA";3
"520620 CRISTALINA";1
"520790 FLORES DE GOIAS";1
"520800 FORMOSA";2
"520815 GAMELEIRA DE GOIAS";1
"520870 GOIANIA";12
"521150 ITUMBIARA";2
"521770 PONTALINA";4
"521810 PORTELANDIA";1
"521900 SANCLERLANDIA";1
"521945 SANTA RITA DO NOVO DESTINO";1
"522157 UIRAPURU";1
"530010 BRASILIA";2423
"Total";8954
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis / Período - Correspondem aos anos de notificação dos casos.
 CAT - Comunicação de acidente de trabalho O campo "CNAE – Ativ. Econ." considera os códigos referentes as tabelas CNAE 1.0.
 Dados a partir 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS,
 em uso pelo estado desde janeiro de 2020.
 Dados de 2006 a 2017 revisados e atualizados em 15/08/2022.
