 Investiga��o de Pneumoconiose relacionada ao trabalho - Notifica��es registradas no Sinan Net - Brasil
Notifica��es por Munic�pio de notifica��o

Per�odo: 2006-2023

"Munic�pio de notifica��o";"Notifica��es"
"292700 RIO REAL";1
"292740 SALVADOR";96
"292800 SANTALUZ";1
"292870 SANTO ANTONIO DE JESUS";1
"293060 SERROLANDIA";1
"293330 VITORIA DA CONQUISTA";23
"310190 ALPINOPOLIS";48
"310260 ANDRADAS";8
"310350 ARAGUARI";4
"310480 AUGUSTO DE LIMA";2
"310490 BAEPENDI";17
"310510 BAMBUI";1
"310560 BARBACENA";3
"310620 BELO HORIZONTE";499
"310630 BELO ORIENTE";2
"310670 BETIM";32
"310690 BICAS";2
"310730 BOCAIUVA";1
"310750 BOM JARDIM DE MINAS";1
"311030 CALDAS";1
"311060 CAMBUI";1
"311120 CAMPO BELO";1
"311230 CAPELINHA";1
"311250 CAPIM BRANCO";2
"311400 CARMO DA MATA";2
"311550 CAXAMBU";3
"311760 CONCEICAO DO PARA";3
"311787 CONFINS";1
"311800 CONGONHAS";2
"311830 CONSELHEIRO LAFAIETE";2
"311840 CONSELHEIRO PENA";2
"311860 CONTAGEM";30
"311890 CORDISBURGO";1
"311930 COROMANDEL";1
"312080 CRUZILIA";5
"312090 CURVELO";14
"312220 DIVINOLANDIA DE MINAS";1
"312310 DORES DE GUANHAES";4
"312380 ENGENHEIRO NAVARRO";1
"312410 ESMERALDAS";2
"312570 FELIXLANDIA";1
"312610 FORMIGA";1
"312640 FORTUNA DE MINAS";1
"312670 FRANCISCO SA";2
"312770 GOVERNADOR VALADARES";21
"312810 GUAPE";16
"312825 GUARACIAMA";2
"312850 GUARARA";1
"312940 IBERTIOGA";1
"312980 IBIRITE";1
"313010 IGARAPE";1
"313020 IGARATINGA";1
"313110 INIMUTABA";1
"313115 IPABA";1
"313130 IPATINGA";6
"313170 ITABIRA";2
"313190 ITABIRITO";1
"313210 ITACARAMBI";1
"313270 ITAMBACURI";1
"313370 ITATIAIUCU";1
"313410 ITUETA";1
"313535 JAPONVAR";1
"313540 JECEABA";1
"313640 JOAQUIM FELICIO";10
"313652 JOSE GONCALVES DE MINAS";1
"313670 JUIZ DE FORA";18
"313870 LUMINARIAS";4
"313970 MARAVILHAS";1
"314000 MARIANA";5
"314070 MATEUS LEME";2
"314110 MATOZINHOS";2
"314140 MEDINA";5
"314330 MONTES CLAROS";1
"314345 MONTEZUMA";1
"314470 NOVA ERA";2
"314480 NOVA LIMA";948
"314535 NOVO ORIENTE DE MINAS";1
"314610 OURO PRETO";3
"314690 PAPAGAIOS";17
"314710 PARA DE MINAS";4
"314740 PARAOPEBA";7
"314790 PASSOS";48
"314860 PECANHA";1
"314930 PEDRO LEOPOLDO";14
"315110 PIRAPETINGA";1
"315150 PIUMHI";1
"315180 POCOS DE CALDAS";5
"315250 POUSO ALEGRE";1
"315330 PRESIDENTE KUBITSCHEK";1
"315390 RAPOSOS";5
"315430 RESPLENDOR";2
"315460 RIBEIRAO DAS NEVES";11
"315480 RIO ACIMA";2
"315670 SABARA";5
"315700 SALINAS";3
"315720 SANTA BARBARA";1
"315733 SANTA CRUZ DE MINAS";2
"315900 SANTANA DO RIACHO";1
"316040 SANTO ANTONIO DO MONTE";1
"316110 SAO FRANCISCO";1
"316250 SAO JOAO DEL REI";1
"316294 SAO JOSE DA BARRA";2
"316295 SAO JOSE DA LAPA";1
"316300 SAO JOSE DA SAFIRA";1
"316447 SAO SEBASTIAO DO ANTA";1
"316520 SAO THOME DAS LETRAS";10
"316720 SETE LAGOAS";13
"316860 TEOFILO OTONI";2
"316930 TRES CORACOES";21
"316935 TRES MARIAS";1
"316990 UBA";1
"317010 UBERABA";6
"317057 VARGEM ALEGRE";3
"317070 VARGINHA";1
"317080 VARZEA DA PALMA";3
"317160 VIRGEM DA LAPA";4
"320090 BARRA DE SAO FRANCISCO";2
"320120 CACHOEIRO DE ITAPEMIRIM";5
"320150 COLATINA";1
"320425 PONTO BELO";1
"320530 VITORIA";118
"330010 ANGRA DOS REIS";13
"330045 BELFORD ROXO";1
"330100 CAMPOS DOS GOYTACAZES";3
"330170 DUQUE DE CAXIAS";8
"330190 ITABORAI";1
"330200 ITAGUAI";1
"330220 ITAPERUNA";5
"330250 MAGE";2
"330330 NITEROI";3
"330452 RIO DAS OSTRAS";1
"330455 RIO DE JANEIRO";95
"330490 SAO GONCALO";1
"330630 VOLTA REDONDA";1
"350160 AMERICANA";2
"350190 AMPARO";2
"350275 ARACARIGUAMA";1
"350280 ARACATUBA";1
"350320 ARARAQUARA";1
"350410 ATIBAIA";3
"350600 BAURU";1
"350750 BOTUCATU";4
"350950 CAMPINAS";1207
"351040 CAPIVARI";28
"351340 CRUZEIRO";2
"351380 DIADEMA";1
"351640 FRANCO DA ROCHA";4
"351880 GUARULHOS";3
"352050 INDAIATUBA";2
"352240 ITAPEVA";15
"352260 ITAPIRA";18
"352390 ITU";1
"352590 JUNDIAI";15
"352610 JUQUIA";1
"353070 MOGI GUACU";20
"353282 NOVA CAMPINA";3
"353440 OSASCO";59
"353620 PARIQUERA-ACU";3
"353670 PEDERNEIRAS";1
"353870 PIRACICABA";6
"354210 RAFARD";1
"354260 REGISTRO";4
"354340 RIBEIRAO PRETO";4
"354390 RIO CLARO";63
"354580 SANTA BARBARA D'OESTE";1
"354670 SANTA GERTRUDES";14
"354780 SANTO ANDRE";13
"354870 SAO BERNARDO DO CAMPO";10
"354880 SAO CAETANO DO SUL";501
"354910 SAO JOAO DA BOA VISTA";1
"354980 SAO JOSE DO RIO PRETO";1
"354990 SAO JOSE DOS CAMPOS";17
"355030 SAO PAULO";382
"355220 SOROCABA";16
"410040 ALMIRANTE TAMANDARE";1
"410160 ARAPOTI";1
"410180 ARAUCARIA";2
"410290 BITURUNA";1
"410305 BOA VISTA DA APARECIDA";1
"410400 CAMPINA GRANDE DO SUL";2
"410420 CAMPO LARGO";1
"410480 CASCAVEL";1
"410490 CASTRO";1
"410550 CIANORTE";1
"410610 CONSELHEIRO MAIRINCK";1
"410690 CURITIBA";218
"410725 DOURADINA";1
"410765 FAZENDA RIO GRANDE";1
"410840 FRANCISCO BELTRAO";1
"411020 INACIO MARTINS";1
"411070 IRATI";1
"411370 LONDRINA";12
"411520 MARINGA";1
"411570 MATINHOS";2
"411820 PARANAGUA";1
"411915 PINHAIS";3
"411930 PINHAO";4
"411950 PIRAQUARA";1
"411990 PONTA GROSSA";4
"412080 QUATRO BARRAS";3
"412120 QUITANDINHA";1
"412230 RIO NEGRO";1
"412405 SANTA TEREZINHA DE ITAIPU";1
"412570 SAO MIGUEL DO IGUACU";1
"412610 SAO TOME";2
"412625 SARANDI";1
"412700 TEIXEIRA SOARES";1
"420420 CHAPECO";2
"420540 FLORIANOPOLIS";21
"420900 JOACABA";1
"420910 JOINVILLE";53
"421660 SAO JOSE";1
"421740 SCHROEDER";1
"421950 XANXERE";1
"430040 ALEGRETE";1
"430064 AMETISTA DO SUL";212
"430160 BAGE";1
"430310 CACHOEIRINHA";1
"430420 CANDELARIA";1
"430510 CAXIAS DO SUL";1
"430607 CRISTAL DO SUL";20
"430780 ESTRELA";1
"430850 FREDERICO WESTPHALEN";11
"430960 HORIZONTINA";1
"431020 IJUI";1
"431040 INDEPENDENCIA";1
"431050 IRAI";6
"431180 MARAU";2
"431344 NOVO TIRADENTES";1
"431490 PORTO ALEGRE";27
"431590 RODEIO BONITO";12
"431640 ROSARIO DO SUL";1
"431760 SANTO ANTONIO DA PATRULHA";4
"431960 SAO SEPE";2
"432000 SAPUCAIA DO SUL";1
"432020 SEBERI";2
"432080 SOLEDADE";37
"432135 TAVARES";1
"432145 TEUTONIA";1
"500110 AQUIDAUANA";2
"500190 BATAGUASSU";1
"500270 CAMPO GRANDE";7
"500290 CASSILANDIA";1
"500315 CORONEL SAPUCAIA";1
"500320 CORUMBA";2
"500370 DOURADOS";3
"500570 NAVIRAI";1
"510190 BRASNORTE";1
"510340 CUIABA";3
"510410 GUARANTA DO NORTE";1
"510642 PEIXOTO DE AZEVEDO";2
"510650 POCONE";2
"510704 PRIMAVERA DO LESTE";3
"520110 ANAPOLIS";5
"520140 APARECIDA DE GOIANIA";1
"520495 CAMPOS VERDES";2
"520540 CERES";12
"520640 CRIXAS";1
"520870 GOIANIA";80
"520920 GUAPO";1
"521090 ITAPACI";2
"521190 JATAI";1
"521250 LUZIANIA";5
"521690 PILAR DE GOIAS";3
"521730 PIRENOPOLIS";3
"521970 SANTA TEREZINHA DE GOIAS";1
"522020 SAO MIGUEL DO ARAGUAIA";1
"530010 BRASILIA";11

"Total";6108
 Fonte: Minist�rio da Sa�de/SVS - Sistema de Informa��o de Agravos de Notifica��o - Sinan Net
 Notas:
 
 Per�odos Dispon�veis / Per�odo - Correspondem aos anos de notifica��o dos casos.
 CAT - Comunica��o de acidente de trabalho.
 O campo "CNAE ? Ativ. Econ." considera os c�digos referentes as tabelas CNAE 1.0.
 Dados a partir 2020 do Esp�rito Santo n�o est�o dispon�veis neste sistema, pois s�o oriundos do Sistema de Informa��o e-SUS VS,
 em uso pelo estado desde janeiro de 2020.
 Dados de 2006 a 2017 revisados e atualizados em 15/08/2022.
 Dados de 2018 revisados e atualizados em 22/08/2022.
 Dados de 2019 atualizados em junho de 2023.
 Dados de 2020 atualizados em junho de 2023, sujeitos � revis�o.
 Dados de 2021 revisados e atualizados em agosto de 2023, sujeitos � revis�o.
 Dados de 2022 revisados e atualizados em julho de 2023, sujeitos � revis�o.
 Dados de 2023 atualizados em janeiro de 2024, sujeitos � revis�o.
  *Dados disponibilizados no TABNET em fevereiro de 2024.
 
